DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX
2442.75,101.4409337,22.7,2.418,133,4.99,5.33,191.9057941
2442.875,100.904513,21.9,2.412,134,4.91,5.29,191.5533001
2443,100.4148783,21.6,2.413,135,4.77,5.19,191.3317163
2443.125,100.0826371,21.7,2.42,135,4.63,5.08,191.275047
2443.25,99.83345735,21.8,2.429,134,4.52,4.97,191.122816
2443.375,99.7178622,21.7,2.442,134,4.41,4.86,190.9618764
2443.5,99.81977008,21.5,2.456,133,4.31,4.77,190.3312104
2443.625,99.37989993,21.5,2.459,133,4.31,4.78,188.8355523
2443.75,97.80847579,21.5,2.449,133,4.46,4.94,186.3816041
2443.875,94.98872743,21.5,2.44,133,4.84,5.33,183.1103682
2444,92.93574186,21.2,2.458,132,5.48,5.99,178.5467199
2444.125,90.69260768,20.3,2.503,131,6.35,6.91,173.297111
2444.25,87.71881627,19.1,2.552,130,7.44,8.08,168.0565967
2444.375,84.82138373,17.9,2.589,128,8.63,9.41,163.1800106
2444.5,83.10175945,16.9,2.627,126,9.7,10.66,158.9826362
2444.625,83.43591299,16.6,2.651,127,10.23,11.38,155.8989748
2444.75,84.94155433,16.8,2.622,127,10.07,11.34,154.5450296
2444.875,86.97683287,17.2,2.545,127,9.38,10.71,154.2604965
2445,88.27837428,17.4,2.485,130,8.56,9.9,154.6946826
2445.125,88.67638661,17.1,2.445,135,7.96,9.27,155.5317421
2445.25,88.82462618,16.7,2.43,138,7.78,9.06,156.476899
2445.375,89.26696542,16.5,2.453,135,8.23,9.51,157.0683524
2445.5,88.26632631,16.3,2.5,130,9.18,10.55,157.2429935
2445.625,87.13942343,16,2.545,124,10.24,11.76,157.4108724
2445.75,87.12275886,15.8,2.557,120,10.75,12.39,157.6777667
2445.875,88.33704501,16,2.539,117,10.44,12.12,158.0913379
2446,89.09483465,16.9,2.51,118,9.47,11.1,158.6953974
2446.125,90.56760367,18.3,2.487,120,8.43,9.99,159.5276645
2446.25,92.2321899,19.6,2.468,120,7.72,9.22,160.0402791
2446.375,93.35275157,20.3,2.458,116,7.45,8.94,160.4090366
2446.5,94.08323051,20.3,2.459,113,7.36,8.9,160.7935011
2446.625,94.70114829,20.3,2.472,113,7.27,8.89,161.3076046
2446.75,93.58927165,20.7,2.473,116,7.09,8.79,161.9501571
2446.875,94.60117526,21.4,2.445,121,6.87,8.62,162.8742497
2447,95.94467119,22.3,2.389,126,6.67,8.47,163.8423524
2447.125,97.32699075,23.2,2.328,130,6.58,8.46,164.7802116
