DEPTH,GR,CNL,DT,DEN,MSFL,RS,RD,Well Name,Facies
2353.2800,124.4652,19.7549,89.9882,2.5600,5.7838,6.0745,6.8357,1,3
2353.3000,124.5200,19.6953,90.0278,2.5592,5.6978,6.0334,6.7756,1,3
2353.3200,124.5484,19.6260,90.0486,2.5581,5.6041,5.9908,6.7139,1,3
2353.3400,124.5542,19.5524,90.0636,2.5568,5.5028,5.9472,6.6510,1,3
2353.3600,124.5466,19.4875,90.1045,2.5554,5.3944,5.9034,6.5879,1,3
2353.3800,124.5260,19.4320,90.1731,2.5539,5.2787,5.8595,6.5247,1,3
2353.4000,124.4936,19.3893,90.2797,2.5523,5.1539,5.8156,6.4615,1,3
2353.4200,124.4497,19.3609,90.4282,2.5507,5.0194,5.7719,6.3984,1,3
2353.4400,124.3968,19.3440,90.6059,2.5490,4.8817,5.7284,6.3356,1,3
2353.4600,124.3406,19.3324,90.7814,2.5474,4.7573,5.6854,6.2734,1,3
2353.4800,124.2815,19.3256,90.9528,2.5458,4.6471,5.6429,6.2120,1,3
2353.5000,124.2206,19.3223,91.1105,2.5443,4.5561,5.6010,6.1513,1,3
2353.5200,124.1583,19.3218,91.2506,2.5428,4.4864,5.5598,6.0914,1,3
2353.5400,124.0952,19.3251,91.3859,2.5414,4.4320,5.5192,6.0324,1,3
2353.5600,124.0330,19.3344,91.5476,2.5400,4.3787,5.4792,5.9749,1,3
2353.5800,123.9718,19.3499,91.7376,2.5385,4.3256,5.4397,5.9189,1,3
2353.6000,123.9115,19.3719,91.9658,2.5369,4.2700,5.4009,5.8644,1,3
2353.6200,123.8523,19.4007,92.2361,2.5353,4.2107,5.3627,5.8116,1,3
2353.6400,123.7953,19.4362,92.5351,2.5336,4.1479,5.3252,5.7604,1,3
2353.6600,123.7435,19.4782,92.8294,2.5318,4.0816,5.2887,5.7107,1,3
2353.6800,123.6970,19.5266,93.1174,2.5300,4.0119,5.2531,5.6626,1,3
2353.7000,123.6555,19.5819,93.3925,2.5280,3.9387,5.2186,5.6159,1,3
2353.7200,123.6189,19.6441,93.6520,2.5259,3.8619,5.1851,5.5707,1,3
2353.7400,123.5905,19.7120,93.8963,2.5237,3.7813,5.1528,5.5270,1,3
2353.7600,123.5780,19.7827,94.1265,2.5213,3.6965,5.1219,5.4845,1,3
2353.7800,123.5821,19.8559,94.3424,2.5187,3.6073,5.0925,5.4431,1,3
2353.8000,123.6037,19.9311,94.5398,2.5159,3.5119,5.0645,5.4028,1,3
2353.8200,123.6434,20.0079,94.7170,2.5129,3.4095,5.0381,5.3636,1,3
2353.8400,123.7030,20.0866,94.8884,2.5097,3.3063,5.0130,5.3255,1,3
2353.8600,123.7869,20.1681,95.0896,2.5064,3.2179,4.9890,5.2891,1,3
2353.8800,123.8953,20.2526,95.3229,2.5029,3.1450,4.9661,5.2542,1,3
2353.9000,124.0308,20.3400,95.6020,2.4993,3.0906,4.9440,5.2210,1,3
2353.9200,124.1943,20.4305,95.9325,2.4955,3.0559,4.9227,5.1895,1,3
2353.9400,124.3808,20.5242,96.2913,2.4916,3.0417,4.9025,5.1598,1,3
2353.9600,124.5780,20.6215,96.6215,2.4878,3.0496,4.8842,5.1324,1,3
2353.9800,124.7854,20.7226,96.9199,2.4840,3.0799,4.8679,5.1072,1,3
2354.0000,125.0014,20.8284,97.1734,2.4802,3.1360,4.8538,5.0845,1,3
2354.0200,125.2255,20.9394,97.3766,2.4765,3.2192,4.8420,5.0643,1,3
2354.0400,125.4543,21.0524,97.5363,2.4729,3.3196,4.8322,5.0465,1,3
2354.0600,125.6795,21.1594,97.6689,2.4693,3.4132,4.8240,5.0301,1,3
2354.0800,125.9006,21.2602,97.7750,2.4658,3.4986,4.8173,5.0154,1,3
2354.1000,126.1160,21.3535,97.8562,2.4623,3.5714,4.8121,5.0020,1,3
2354.1200,126.3251,21.4389,97.9131,2.4589,3.6298,4.8083,4.9900,1,3
2354.1400,126.5271,21.5147,97.9499,2.4555,3.6722,4.8060,4.9794,1,3
2354.1600,126.7200,21.5765,97.9775,2.4521,3.6951,4.8047,4.9702,1,3
2354.1800,126.9036,21.6242,97.9963,2.4488,3.6982,4.8047,4.9625,1,3
2354.2000,127.0775,21.6569,98.0088,2.4456,3.6809,4.8058,4.9562,1,3
2354.2200,127.2416,21.6745,98.0161,2.4424,3.6429,4.8081,4.9514,1,3
2354.2400,127.3955,21.6758,98.0180,2.4392,3.5829,4.8114,4.9480,1,3
2354.2600,127.5386,21.6582,98.0137,2.4360,3.4981,4.8154,4.9461,1,3
2354.2800,127.6709,21.6216,98.0034,2.4328,3.3881,4.8200,4.9456,1,3
2354.3000,127.7921,21.5644,97.9883,2.4296,3.2484,4.8253,4.9465,1,3
2354.3200,127.9021,21.4861,97.9691,2.4263,3.0771,4.8311,4.9488,1,3
2354.3400,128.0011,21.3895,97.9409,2.4230,2.8880,4.8376,4.9524,1,3
2354.3600,128.0894,21.2820,97.8925,2.4198,2.7152,4.8450,4.9570,1,3
2354.3800,128.1670,21.1638,97.8231,2.4168,2.5604,4.8534,4.9625,1,3
2354.4000,128.2338,21.0355,97.7318,2.4138,2.4297,4.8628,4.9689,1,3
