DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX,sample_weight
2587.0,72.82851378,10.4,2.65,114,8.64,9.39,142.0773236,0.988437829158882
2587.125,68.35142723,8.4,2.657,99,12.75,13.16,135.2473666,0.8003507324221976
2587.25,65.82673891,6.8,2.658,87,17.86,17.88,129.2502373,0.8003507324221976
2587.375,65.43721398,5.9,2.648,83,21.95,21.7,124.501049,0.8003507324221976
2587.5,66.19948045,5.9,2.626,85,22.9,22.67,121.3479022,0.8003507324221976
2587.625,67.94956017,6.6,2.599,90,21.28,21.23,119.888348,0.8003507324221976
2587.75,70.57477776,7.6,2.574,93,18.75,18.85,120.0024817,0.8003507324221976
2587.875,72.84306844,8.6,2.559,96,16.72,16.85,121.4367829,0.8003507324221976
2588.0,73.57347867,9.4,2.552,100,15.19,15.29,123.8064974,0.8003507324221976
2588.125,74.01467717,9.9,2.552,104,13.86,13.93,126.4547051,0.8003507324221976
2588.25,75.08660072,10.3,2.553,108,12.61,12.65,129.0600287,0.8003507324221976
2588.375,76.48489081,10.6,2.551,110,11.51,11.54,131.4315123,0.8003507324221976
2588.5,76.81413287,10.7,2.549,112,10.71,10.75,133.496849,0.8003507324221976
2588.625,77.72153117,10.8,2.549,114,10.27,10.3,134.926393,0.8003507324221976
2588.75,77.61440459,10.9,2.552,114,10.14,10.15,135.9096578,0.8003507324221976
2588.875,77.48316181,10.8,2.555,113,10.26,10.18,136.7581693,0.8003507324221976
2589.0,77.34192231,11.0,2.558,112,10.29,10.12,137.6648579,0.8003507324221976
2589.125,77.31866535,11.3,2.561,111,10.01,9.78,138.7953646,0.8003507324221976
2589.25,78.77929528,11.9,2.565,115,9.26,9.03,140.3573724,0.8003507324221976
2589.375,79.70785033,12.5,2.571,125,8.24,8.06,142.5999539,0.8003507324221976
2589.5,80.50961614,13.1,2.577,138,7.23,7.09,144.9735856,0.8003507324221976
2589.625,80.73974213,13.8,2.581,149,6.53,6.41,147.1241138,0.8003507324221976
2589.75,80.44431102,14.5,2.583,154,6.2,6.08,148.7519861,0.8003507324221976
2589.875,80.03005492,15.2,2.583,152,6.23,6.08,149.608061,0.8003507324221976
2590.0,78.86839154,15.2,2.582,147,6.53,6.33,149.178435,0.8003507324221976
2590.125,77.48114469,14.5,2.585,140,6.97,6.7,147.7258683,0.8003507324221976
2590.25,76.32286207,13.2,2.591,133,7.44,7.1,145.7529783,0.8003507324221976
2590.375,75.4217187,12.0,2.597,128,7.85,7.45,143.5462575,0.8003507324221976
2590.5,74.75147966,11.1,2.601,124,8.18,7.76,141.3532983,0.8003507324221976
2590.625,74.41273294,10.9,2.602,120,8.43,8.02,139.4095647,0.8003507324221976
2590.75,74.39909291,11.0,2.603,117,8.64,8.22,138.2569402,0.8003507324221976
2590.875,74.19400584,11.2,2.606,116,8.77,8.36,137.5069108,0.8003507324221976
2591.0,74.06070512,11.5,2.609,119,8.8,8.4,137.1217044,0.8003507324221976
2591.125,73.85110177,11.7,2.612,121,8.8,8.39,137.0274518,0.8003507324221976
2591.25,73.27949783,11.9,2.615,122,8.81,8.39,137.0872344,0.8003507324221976
2591.375,72.97413366,11.9,2.614,120,8.86,8.41,136.9339372,0.8003507324221976
2591.5,72.88552067,11.8,2.611,117,8.96,8.47,136.7543451,0.8003507324221976
2591.625,72.69809875,11.6,2.608,115,9.11,8.57,136.5123247,0.8003507324221976
2591.75,72.35733104,11.4,2.609,116,9.27,8.68,136.3656112,0.8003507324221976
2591.875,72.13574016,11.3,2.61,119,9.35,8.75,136.5234252,0.8003507324221976
2592.0,72.69745892,11.3,2.611,123,9.26,8.66,137.1926459,0.8003507324221976
2592.125,73.67006391,11.4,2.609,124,8.96,8.41,138.1864943,0.8003507324221976
2592.25,74.30129902,11.8,2.604,124,8.51,8.03,139.3033939,0.8003507324221976
2592.375,74.74439934,12.4,2.596,124,8.05,7.68,140.121846,0.8003507324221976
2592.5,74.79655755,12.8,2.588,126,7.84,7.51,140.2894748,0.8003507324221976
2592.625,74.31922126,12.7,2.583,128,8.02,7.65,139.5922199,0.8003507324221976
2592.75,74.2201399,12.0,2.58,125,8.77,8.28,138.0832796,0.8003507324221976
2592.875,73.61344829,11.0,2.578,120,10.05,9.41,135.8252024,0.8003507324221976
2593.0,72.68456791,10.3,2.576,114,11.68,10.9,133.4177348,0.8003507324221976
2593.125,71.41968248,9.9,2.575,108,12.98,12.15,131.2170177,0.8003507324221976
2593.25,70.24733104,9.8,2.576,103,13.38,12.62,129.4393963,0.8003507324221976
2593.375,70.06092126,9.8,2.58,101,12.77,12.19,128.1425906,0.8003507324221976
2593.5,70.41984514,10.0,2.585,104,11.71,11.34,127.5339948,0.8003507324221976
2593.625,69.84251739,10.3,2.59,109,10.72,10.49,127.3159114,0.8003507324221976
2593.75,69.02323957,10.5,2.595,115,10.1,9.91,127.2766343,0.8003507324221976
2593.875,68.76552966,10.6,2.599,118,9.94,9.72,127.3346584,0.8003507324221976
2594.0,69.38768005,10.6,2.601,118,10.19,9.89,127.4559425,0.8003507324221976
2594.125,69.59798189,10.5,2.6,117,10.55,10.2,127.6000533,0.8003507324221976
2594.25,69.55932867,10.5,2.597,115,10.66,10.3,127.5748532,0.8003507324221976
2594.375,69.14267021,10.5,2.597,116,10.47,10.16,127.3879108,0.8003507324221976
2594.5,68.28718209,10.4,2.6,118,10.35,10.11,126.9433368,0.8003507324221976
2594.625,67.13866969,10.2,2.605,120,10.73,10.52,126.1277713,0.8003507324221976
2594.75,65.97910374,9.7,2.61,117,12.02,11.71,124.8506121,0.8003507324221976
2594.875,64.51871988,8.9,2.615,110,14.64,14.1,123.2511207,0.8003507324221976
2595.0,63.97128484,8.1,2.622,101,18.47,17.66,121.488118,0.8003507324221976
2595.125,64.14713465,7.7,2.629,92,22.12,21.2,119.8815848,0.8003507324221976
2595.25,64.72505669,7.5,2.631,89,23.2,22.43,118.7964549,0.8003507324221976
2595.375,65.5427063,7.7,2.625,89,21.03,20.57,118.5326549,0.8003507324221976
2595.5,66.96495039,8.1,2.612,94,16.73,16.58,119.2357388,0.8003507324221976
2595.625,69.36351752,8.9,2.598,103,12.78,12.79,121.2064482,0.8003507324221976
2595.75,71.10369895,9.9,2.588,114,10.06,10.15,123.8586329,0.8003507324221976
2595.875,72.42766713,10.9,2.584,125,8.62,8.7,126.7643078,0.8003507324221976
2596.0,73.21274803,11.7,2.584,133,7.99,8.02,129.5208185,0.8003507324221976
2596.125,73.13758786,12.1,2.584,135,7.96,7.93,131.7788614,0.8003507324221976
2596.25,72.83435623,12.3,2.587,133,8.24,8.22,133.1357347,0.8003507324221976
2596.375,72.57442736,12.3,2.59,130,8.6,8.63,133.4388362,0.8003507324221976
2596.5,72.33544639,12.0,2.592,128,8.95,9.02,133.0213146,0.8003507324221976
2596.625,72.08946175,11.6,2.592,124,9.24,9.31,132.193515,0.8003507324221976
2596.75,71.81143957,11.3,2.59,120,9.48,9.5,131.2012776,0.8003507324221976
